id,original path,op sequence,resulting path,duration,create from scratch,operation sequence
36a52f1a-8413-4a63-a2d9-855583f73f04,leftover related to remaining synonym rest,,leftover related to remaining; remaining synonym Belonging; ,1:20,False,modify node: rest to Belonging
98747b8a-a142-4792-b734-319f993b4be6,leftover is a remainder related to possession related to belonging,,acceptance entails belonging; friends hasPrerequisite acceptance; ,4:32,True,delete node: remainder; delete node: leftover; delete node: possession; new node creation: friends; new node creation: acceptance; new node creation: belonging; new link creation: acceptance related to entails; new link creation: acceptance entails belonging; modify link: acceptance entails belonging; new link creation: friends hasPrerequisite acceptance; modify link: friends hasPrerequisite acceptance; 
49966290-7848-4d8d-8617-fc7d6b57983e,pretend motivated by goal playing used for competing causes competition,,pretend motivated by goal mask the truth; ,1:34,False,delete node: pretend; delete node: competing; delete node: competition; modify node: playing to mask the truth
60054ea6-0ad9-42d1-9cd0-885a6a86a34e,leftover related to remaining synonym rest,,Friendship related to Belonging; Friendship related to Approval; ,8:10,True,new node creation: Friendship; new node creation: Excluding; new node creation: Belonging; new link creation: Friendship related to Belonging; new node creation: Approval; new link creation: Friendship related to Belonging; new link creation: Friendship related to Approval; delete link: Friendship to related to Belonging; 
dcf832b0-2e7b-4a8b-b52e-e5cd112b3ca3,leftover is a remainder related to possession related to belonging,,leftover is a remainder; remainder related to possession; possession related to belonging; ,0:10,False,
3efd677f-b67a-481d-9a94-a41b5d57e426,pretend motivated by goal playing used for competing causes competition,,pretended related to ignore; ignore motivated by goal approval; ,10:47,True,new node creation: grateful; delete node: grateful; new node creation: pretended; new node creation: approval; new node creation: acceptance; new link creation: acceptance related to pretended; delete link: acceptance to related to pretended; new link creation: acceptance related to pretended; modify link: acceptance related to pretended; new node creation: fake; delete node: acceptance; delete node: pretended; delete node: fake; delete node: approval; new node creation: pretended; new node creation: ignore; new link creation: pretended related to ignore; modify link: pretended related to ignore; modify link: pretended related to ignore; new node creation: approval; new link creation: ignore motivated by goal approval; modify link: ignore motivated by goal approval; modify link: ignore motivated by goal approval; 
f0ed3e0b-d2dc-4659-978a-f34549bbbdb6,pretend motivated by goal playing used for competing causes competition,,pretend motivated by goal make someone happy; make someone happy used for maintain friendship; maintain friendship causes social needs; ,1:10,False,modify node: playing to make someone happymodify node: competing to maintain friendshipmodify node: competition to social needs
a9638a74-e739-481a-bcd0-aae445f49182,leftover related to remaining synonym rest,,leftover related to remaining; remaining synonym rest; ,0:02,False,
67e6b483-1aae-4ba5-b251-aa5ee1481fad,pretend motivated by goal actor is a person desires independent,,pretend related to actor; conceal  motivated to actor; ,4:27,False,delete node: independent; new node creation: Conceal ; delete link: actor to is a person; delete node: person; new link creation: actor related to Conceal; new link creation: Conceal  related to person; new link creation: actor related to Concea;; new link creation: Conceal  related to actor; modify link: Conceal  related to actor; modify link: pretend related to actor; modify link: pretend related to actor; delete link: Conceal  to related to actor; new link creation: actor related to conceal; modify node: Conceal  to conceal new link creation: actor related to conceal; new link creation: actor related to conceal; new link creation: conceal  motivated to actor; modify link: conceal  motivated to actor; 
52c5809f-7e71-4e6a-86f7-0e2181eebc2b,leftover related to remaining synonym rest,,May made a friendship bracelet is a Friendship bracelet is a nice thing; Friendship bracelet is a nice thing cause Gina pretend to be grateful; Grateful cause Gina pretend to be grateful; it's expected to thank people who did nice things to you related to Grateful; ,14:54,True,new node creation: May made a friendship bracelet; new node creation: it's expected to thank people who did nice thing to you; new node creation: Gina pretend to be grateful; new link creation: May made a friendship bracelet related to it's expected to thank people who did nice thing to you; new link creation: it's expected to thank people who did nice things to you causes Gina pretend to be grateful; modify link: it's expected to thank people who did nice things to you causes Gina pretend to be grateful; modify link: it's expected to thank people who did nice things to you causes Gina pretend to be grateful; delete link: May made a friendship bracelet to related to it's expected to thank people who did nice thing to you; new node creation: Friendship bracelet is a nice thing; new link creation: May made a friendship bracelet related to Friendship bracelet ; new link creation: May made a friendship bracelet is a Friendship bracelet is a nice thing; modify link: May made a friendship bracelet is a Friendship bracelet is a nice thing; new link creation: Friendship bracelet is a nice thing related to it's expected to thank people who did nice things to you; modify node: it's expected to thank people who did nice thing to you to it's expected to thank people who did nice things to younew link creation: Friendship bracelet is a nice thing related to it's expected to thank people who did nice things to you; delete link: Friendship bracelet is a nice thing to related to it's expected to thank people who did nice things to you; new link creation: Friendship bracelet is a nice thing cause Gina pretend to be grateful; delete link: it's expected to thank people who did nice things to you to causes Gina pretend to be grateful; new node creation: Grateful; new link creation: Grateful cause Gina pretend to be grateful; new link creation: it's expected to thank people who did nice things to you related to Grateful; modify link: Friendship bracelet is a nice thing cause Gina pretend to be grateful; modify link: Grateful cause Gina pretend to be grateful; 
